Date,Event Name,Location,Time,Link,Notes,Category,Kid Friendly,Physical Activity,Alcohol Served/Likely,Cost / Ticketing,Planning Context
"Saturday, July 25, 2026",Donner Summit Trail Run by Mountain Tiger,"Donner Summit, Truckee",7:00 AM - 12:00 PM,https://www.visittruckeetahoe.com/things-to-do/events-calendar,Verified and expanded name.,Sports / Race / Endurance,Spectator-friendly; participant ages vary,Yes - strenuous for participants,No / not central to event,Registration required for participants; spectators usually free,"Athletic event with possible road, parking, or beach impacts; check race-day logistics."
"Saturday, July 25, 2026",Donner Lake Triathlon,"West End Beach, Donner Lake",7:00 AM - 4:00 PM,https://donnerlaketri.com/schedule/,Verified.,Sports / Race / Endurance,Spectator-friendly; participant ages vary,Yes - strenuous for participants,No / not central to event,Registration required for participants; spectators usually free,"Athletic event with possible road, parking, or beach impacts; check race-day logistics."
"Saturday, July 25, 2026",Donner Lake Kids Triathlon,"West End Beach, Donner Lake",9:15 AM - 12:00 PM,https://laketahoetravel.com/events/,Added separate kids event.,Sports / Race / Endurance,Spectator-friendly; participant ages vary,Yes - strenuous for participants,No / not central to event,Registration required for participants; spectators usually free,"Athletic event with possible road, parking, or beach impacts; check race-day logistics."
"Saturday, July 25, 2026",Music by the Meadow: Love's Secret Domain,"Pizza on the Hill, Tahoe Donner",5:00 PM - 7:00 PM,https://www.visittruckeetahoe.com/things-to-do/events/music-by-the-meadow,Added recurring Saturday concert.,Live music / Concert,Yes,No - mostly seated/standing,Possible nearby; not central to event,Free,Outdoor or venue-based live music; bring layers for cool evenings and verify seating rules.
"Saturday, July 25, 2026",Live Music with Local Artists,Tahoe National Brewing Co.,7:00 PM - 9:00 PM,https://laketahoetravel.com/events/,Replaces unverified Thursday trivia.,Live music / Concert,Mixed / check brewery policy,No - mostly seated/standing,Yes - brewery venue,Likely free; food/drink extra,Local musician performance at a brewery; best for adults or families comfortable in a brewery setting.
"Saturday, July 25, 2026",Donner Memorial State Park Campfire Program,Donner Memorial State Park,8:00 PM - 9:00 PM,https://www.visittruckeetahoe.com/things-to-do/events/donner-memorial-state-park-campfire-programs,Added family activity.,Family / Educational / Park program,Yes,Light - walking to amphitheater,No / not central to event,Free or park entry fee may apply,Ranger-style evening program; bring warm layers and seating if recommended.
"Saturday, July 25, 2026",Gamblers Run Music Festival,Crystal Bay Club,See site for details,https://laketahoetravel.com/events/,Added nearby music festival.,Live music / Concert,No - 21+,No - mostly seated/standing,Likely available nearby or at venue,Unknown / check source,Outdoor or venue-based live music; bring layers for cool evenings and verify seating rules.
"Sunday, July 26, 2026",Donner Lake Triathlon,"West End Beach, Donner Lake",7:00 AM - 4:00 PM,https://donnerlaketri.com/schedule/,Verified.,Sports / Race / Endurance,Spectator-friendly; participant ages vary,Yes - strenuous for participants,No / not central to event,Registration required for participants; spectators usually free,"Athletic event with possible road, parking, or beach impacts; check race-day logistics."
"Sunday, July 26, 2026",Donner Lake Alpine Swim,"West End Beach, Donner Lake",8:00 AM - 1:00 PM,https://laketahoetravel.com/events/,Added related swim event.,Sports / Race / Endurance,Spectator-friendly; participant ages vary,Yes - strenuous for participants,No / not central to event,Registration required for participants; spectators usually free,"Athletic event with possible road, parking, or beach impacts; check race-day logistics."
"Sunday, July 26, 2026",Concerts at Commons Beach: Poor Man's Whiskey,"Commons Beach, Tahoe City",4:00 PM - 7:00 PM,https://laketahoetravel.com/event/concerts-at-commons-beach/,Added artist from source.,Live music / Concert,Yes,No - mostly seated/standing,Possible nearby; not central to event,Free,Outdoor or venue-based live music; bring layers for cool evenings and verify seating rules.
"Sunday, July 26, 2026",Summer Sunday Funday,Alibi Ale Works Incline Public House,12:00 PM - 4:00 PM,https://laketahoetravel.com/events/,Added nearby Sunday event.,Food & drink / Social event,Mixed / check venue policy,No - mostly seated/standing,Yes - brewery/pub venue,Free to attend unless noted; food/drink extra,Casual Sunday social at Alibi; likely best for adults or families comfortable at a pub.
"Tuesday, July 28, 2026",Truckee Farmers Market,Truckee Regional Park,8:00 AM - 1:00 PM,https://www.visittruckeetahoe.com/things-to-do/events/truckee-farmers-market,Added recurring Truckee market.,Market / Food / Shopping,Yes,Light - walking/standing,No / not central to event,Free to attend; purchases extra,"Casual outdoor market with produce, prepared foods, vendors, and a community feel."
"Tuesday, July 28, 2026",Bluesdays,Village at Palisades Tahoe,6:00 PM - 8:30 PM,https://laketahoetravel.com/events/,Verified recurring Tuesday series.,Live music / Concert,Yes,No - mostly seated/standing,Available nearby at Palisades venues,Likely free,Outdoor Tuesday blues concert in the Palisades village; popular casual evening event.
"Tuesday, July 28, 2026",Grooves by the Greens: Lisa + the Lawless,The Lodge Pavilion at Tahoe Donner,6:00 PM - 8:00 PM,https://www.visittruckeetahoe.com/things-to-do/events/grooves-by-the-greens,Added artist from source.,Live music / Concert,Yes,No - mostly seated/standing,Possible nearby; not central to event,Free,Outdoor or venue-based live music; bring layers for cool evenings and verify seating rules.
"Tuesday, July 28, 2026",Full Moon Kayak Tour,Tahoe Vista Recreation Area,6:30 PM - 9:30 PM,https://laketahoetravel.com/events/,Added nearby activity.,Outdoor recreation / Water activity,Likely with age/ability limits,Yes - paddling,No / not central to event,Paid / reservation likely,"Guided paddling activity; weather, water conditions, and reservations matter."
"Wednesday, July 29, 2026",Full Moon Kayak Tour,Tahoe Vista Recreation Area,7:00 PM - 10:00 PM,https://laketahoetravel.com/events/,Added nearby activity.,Outdoor recreation / Water activity,Likely with age/ability limits,Yes - paddling,No / not central to event,Paid / reservation likely,"Guided paddling activity; weather, water conditions, and reservations matter."
"Wednesday, July 29, 2026",Music in the Park: Dead Winter Carpenters,Truckee Regional Park,6:30 PM - 8:30 PM,https://www.visittruckeetahoe.com/things-to-do/events/music-in-the-park,Added artist from source.,Live music / Concert,Yes,No - mostly seated/standing,Possible nearby; not central to event,Free,Outdoor or venue-based live music; bring layers for cool evenings and verify seating rules.
"Wednesday, July 29, 2026",Movies on the Beach Tahoe City,"Commons Beach, Tahoe City",8:00 PM / dusk,https://laketahoetravel.com/events/,Cleaned time.,Outdoor movie / Family entertainment,Yes,No - mostly seated,No / not central to event,Likely free,Bring blankets or low chairs; outdoor movie timing depends on dusk and weather.
"Thursday, July 30, 2026",Tahoe City Farmers Market,"Commons Beach, Tahoe City",8:00 AM - 1:00 PM,https://www.tahoecityfarmersmarket.com/,Verified recurring market.,Market / Food / Shopping,Yes,Light - walking/standing,No / not central to event,Free to attend; purchases extra,"Casual outdoor market with produce, prepared foods, vendors, and a community feel."
"Thursday, July 30, 2026",Truckee Thursdays,Historic Downtown Truckee,5:00 PM - 8:30 PM,https://www.visittruckeetahoe.com/things-to-do/events/truckee-thursdays,Verified recurring event.,Street festival / Food / Shopping / Music,Yes,Light - walking/standing,Yes / beer garden likely,Free to attend; purchases extra,"Downtown street festival with vendors, food, music, kids activities, and crowds."
"Thursday, July 30, 2026",Open Mic Poetry Night,"Tahoe Wine Collective, Boatworks Mall",5:30 PM - 7:30 PM,https://laketahoetravel.com/events/,Verified recurring event.,Arts / Spoken word,Mixed / adult-leaning,No - seated/standing,Yes - wine venue,Unknown / check source,Small-format open mic at a wine venue; better for adults or older teens.
"Friday, July 31, 2026",SunSets Live Music Series,Palisades Tahoe Events Plaza Stage or Mid Village,5:30 PM - 7:30 PM,https://laketahoetravel.com/events/,Verified recurring Friday series.,Live music / Concert,Yes,No - mostly seated/standing,Available nearby at Palisades venues,Likely free,Outdoor Palisades live music series; casual evening option with food and drinks nearby.
"Friday, July 31, 2026",Music on the Beach,Kings Beach State Recreation Area,6:00 PM - 8:30 PM,https://laketahoetravel.com/events/,Verified recurring Friday series.,Live music / Concert,Yes,No - mostly seated/standing,Possible nearby; not central to event,Free,Outdoor or venue-based live music; bring layers for cool evenings and verify seating rules.
"Friday, July 31, 2026",Northstar Summer Stage Music,Northstar California,5:00 PM - 8:00 PM,https://laketahoetravel.com/events/,Moved from Saturday to Friday.,Live music / Concert,Yes,No - mostly seated/standing,Available nearby at village venues,Likely free,Village-based outdoor live music; easygoing spectator event with dining nearby.
"Friday, July 31, 2026",Blind Flight Fridays,Boatworks Mall,5:00 PM,https://laketahoetravel.com/events/,Added recurring Boatworks Mall activity.,Food & drink / Wine tasting,No - 21+,No - seated/standing,Yes - 21+ wine tasting,Paid / purchases likely,Wine-focused tasting activity at Boatworks Mall.
"Friday, July 31, 2026",Jazz at the Castle,Emerald Bay State Park,4:45 PM - 7:00 PM,https://laketahoetravel.com/events/,Added nearby event.,Live music / Special venue,Likely,Light - walking/standing,Unknown / check venue,Ticketed / paid likely,"Special-location concert; check parking, access, and ticket details."
